"Kod obce";"Nazev obce";"Volici v seznamu";"Vydane obalky";"Platne hlasy";"ANO 2011";"Blok proti islam.-Obran.domova";"CESTA ODPOVĚDNÉ SPOLEČNOSTI";"Dobrá volba 2016";"Dělnic.str.sociální spravedl.";"Komunistická str.Čech a Moravy";"Křesť.demokr.unie-Čs.str.lid.";"Občanská demokratická aliance";"Občanská demokratická strana";"REALISTÉ";"ROZUMNÍ-stop migraci,diktát.EU";"Radostné Česko";"Referendum o Evropské unii";"SPORTOVCI";"SPR-Republ.str.Čsl. M.Sládka";"STAROSTOVÉ A NEZÁVISLÍ";"Strana Práv Občanů";"Strana svobodných občanů";"Strana zelených";"Svob.a př.dem.-T.Okamura (SPD)";"TOP 09";"Unie H.A.V.E.L.";"Česká pirátská strana";"Česká str.sociálně demokrat.";"Česká strana národně sociální";"Řád národa - Vlastenecká unie"
"542121";"Mutějovice";"648";"336";"336";"118";"0";"0";"0";"0";"40";"7";"0";"26";"1";"4";"0";"0";"1";"1";"19";"0";"2";"6";"30";"10";"0";"36";"32";"1";"2"
"542130";"Nesuchyně";"324";"186";"186";"50";"0";"0";"0";"0";"20";"0";"0";"15";"0";"2";"0";"0";"0";"0";"13";"1";"0";"1";"29";"11";"0";"18";"26";"0";"0"
"598585";"Nezabudice";"69";"48";"50";"12";"0";"0";"0";"0";"10";"0";"0";"9";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"6";"0";"8";"2";"0";"0"
"542164";"Nové Strašecí";"4316";"2696";"2675";"679";"3";"3";"4";"2";"225";"89";"5";"289";"14";"23";"1";"2";"4";"7";"150";"6";"29";"50";"236";"168";"0";"350";"333";"2";"1"
"542181";"Nový Dům";"121";"85";"84";"30";"0";"0";"0";"1";"8";"3";"0";"6";"0";"2";"0";"1";"0";"0";"3";"0";"1";"0";"8";"5";"0";"10";"6";"0";"0"
"542199";"Olešná";"480";"329";"327";"102";"1";"0";"0";"1";"20";"7";"0";"69";"2";"0";"0";"0";"0";"3";"13";"1";"9";"3";"37";"8";"0";"24";"25";"2";"0"
"542202";"Oráčov";"435";"319";"315";"147";"2";"0";"0";"4";"34";"5";"1";"18";"2";"1";"0";"2";"4";"1";"8";"2";"1";"5";"26";"8";"0";"24";"19";"1";"0"
"542211";"Panoší Újezd";"235";"160";"159";"45";"0";"0";"0";"0";"18";"8";"0";"24";"0";"1";"0";"0";"2";"0";"7";"1";"1";"2";"19";"4";"0";"11";"16";"0";"0"
"544248";"Pavlíkov";"863";"545";"543";"196";"0";"0";"1";"2";"68";"6";"0";"38";"3";"4";"1";"1";"1";"0";"43";"1";"9";"8";"50";"12";"0";"53";"43";"0";"3"
"542229";"Petrovice";"234";"136";"136";"52";"0";"0";"0";"0";"13";"4";"0";"11";"0";"0";"0";"0";"0";"0";"4";"0";"1";"1";"28";"3";"0";"11";"8";"0";"0"
"542237";"Pochvalov";"220";"139";"139";"48";"1";"0";"0";"0";"22";"0";"0";"3";"0";"1";"0";"1";"1";"0";"19";"0";"4";"1";"12";"3";"0";"12";"11";"0";"0"
"598577";"Přerubenice";"60";"44";"44";"8";"0";"1";"0";"0";"4";"0";"0";"7";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"2";"3";"0";"5";"6";"0";"0"
"542253";"Příčina";"159";"100";"99";"41";"0";"0";"0";"0";"18";"1";"0";"5";"0";"0";"0";"0";"0";"0";"11";"0";"0";"0";"8";"4";"0";"5";"6";"0";"0"
"565261";"Přílepy";"156";"92";"92";"33";"0";"0";"0";"1";"4";"0";"0";"8";"0";"1";"1";"1";"0";"0";"10";"0";"11";"0";"8";"2";"0";"4";"8";"0";"0"
"542270";"Pšovlky";"228";"152";"152";"54";"0";"0";"0";"0";"13";"2";"0";"19";"0";"0";"0";"0";"0";"0";"8";"1";"7";"2";"21";"2";"0";"10";"13";"0";"0"
"542288";"Pustověty";"109";"72";"72";"24";"0";"0";"0";"0";"13";"0";"0";"9";"0";"1";"0";"0";"0";"0";"12";"0";"0";"1";"6";"4";"0";"1";"1";"0";"0"
"599760";"Račice";"131";"100";"100";"22";"0";"0";"0";"0";"12";"3";"1";"13";"0";"1";"0";"0";"0";"1";"8";"0";"0";"2";"6";"4";"0";"16";"11";"0";"0"
"541656";"Rakovník";"12631";"7493";"7446";"2291";"7";"0";"4";"9";"657";"171";"10";"839";"56";"46";"12";"3";"7";"7";"457";"18";"133";"83";"735";"354";"3";"918";"612";"4";"10"
"598526";"Roztoky";"870";"485";"483";"141";"0";"0";"0";"0";"59";"9";"0";"38";"1";"3";"0";"0";"0";"0";"41";"2";"6";"8";"44";"30";"1";"59";"41";"0";"0"
"542326";"Ruda";"585";"328";"328";"114";"0";"0";"0";"0";"31";"10";"0";"21";"4";"4";"0";"0";"0";"0";"21";"0";"5";"3";"26";"18";"0";"30";"37";"2";"2"
"542334";"Rynholec";"749";"430";"428";"130";"1";"0";"1";"1";"54";"8";"0";"35";"9";"6";"2";"0";"1";"0";"23";"1";"7";"0";"29";"23";"1";"44";"52";"0";"0"
"565504";"Řeřichy";"88";"54";"54";"14";"0";"0";"0";"0";"5";"1";"0";"5";"0";"0";"0";"0";"0";"0";"3";"1";"2";"1";"13";"1";"0";"2";"6";"0";"0"
"542351";"Řevničov";"1128";"702";"698";"248";"1";"0";"0";"0";"31";"4";"0";"40";"4";"3";"1";"0";"0";"0";"56";"9";"13";"1";"126";"30";"0";"73";"58";"0";"0"
"542369";"Senec";"201";"138";"137";"30";"0";"0";"0";"0";"12";"0";"0";"27";"1";"0";"0";"0";"1";"1";"5";"2";"2";"1";"15";"5";"0";"16";"19";"0";"0"
"542377";"Senomaty";"939";"606";"603";"189";"0";"2";"0";"1";"57";"9";"1";"64";"2";"4";"0";"0";"1";"2";"52";"1";"8";"4";"77";"21";"0";"48";"59";"0";"1"
"542385";"Skryje";"145";"97";"97";"25";"0";"0";"0";"0";"7";"3";"0";"15";"0";"2";"0";"0";"0";"0";"6";"3";"0";"2";"6";"6";"0";"16";"6";"0";"0"
"542415";"Slabce";"600";"358";"356";"120";"0";"0";"0";"0";"52";"4";"0";"31";"3";"1";"1";"0";"0";"1";"23";"1";"9";"2";"44";"11";"0";"26";"27";"0";"0"
"565407";"Smilovice";"46";"27";"27";"6";"0";"0";"0";"0";"2";"2";"0";"2";"0";"0";"0";"0";"0";"1";"6";"0";"0";"0";"1";"0";"0";"1";"6";"0";"0"
"542431";"Srbeč";"268";"121";"121";"44";"0";"0";"0";"1";"14";"2";"0";"4";"0";"0";"0";"0";"0";"0";"6";"0";"2";"2";"16";"7";"0";"2";"21";"0";"0"
"542458";"Svojetín";"259";"140";"140";"35";"0";"0";"0";"0";"11";"0";"0";"7";"1";"5";"0";"0";"0";"0";"12";"0";"1";"0";"25";"8";"0";"21";"14";"0";"0"
"542466";"Sýkořice";"442";"291";"290";"80";"0";"0";"0";"1";"33";"2";"1";"24";"5";"1";"0";"0";"0";"0";"16";"1";"16";"2";"32";"20";"0";"40";"15";"1";"0"
"542474";"Šanov";"413";"250";"250";"62";"0";"0";"0";"0";"32";"1";"1";"21";"1";"2";"0";"0";"0";"0";"15";"0";"3";"3";"35";"24";"0";"22";"26";"0";"2"
"598496";"Šípy";"139";"101";"100";"36";"0";"0";"0";"0";"5";"1";"0";"8";"2";"4";"0";"0";"0";"2";"8";"0";"2";"1";"6";"3";"0";"7";"14";"1";"0"
"565326";"Švihov";"37";"29";"29";"4";"0";"0";"0";"0";"8";"0";"0";"5";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"5";"1";"0";"0"
"542504";"Třeboc";"117";"82";"79";"23";"0";"0";"0";"2";"22";"0";"0";"6";"1";"0";"0";"0";"0";"0";"10";"0";"0";"1";"8";"0";"0";"2";"4";"0";"0"
"542512";"Třtice";"407";"235";"233";"91";"0";"1";"0";"1";"25";"6";"0";"26";"1";"1";"0";"0";"1";"0";"15";"0";"1";"4";"24";"6";"0";"22";"8";"0";"0"
"565512";"Václavy";"53";"36";"36";"14";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"8";"2";"0";"5";"1";"0";"0"
"542563";"Velká Buková";"227";"137";"134";"47";"0";"0";"0";"2";"13";"5";"0";"10";"1";"0";"0";"0";"2";"0";"5";"0";"2";"0";"13";"7";"0";"18";"9";"0";"0"
"529699";"Velká Chmelištná";"59";"45";"45";"27";"0";"0";"0";"0";"7";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"3";"0";"3";"0";"0";"1"
"565130";"Všesulov";"92";"50";"50";"18";"0";"0";"0";"0";"13";"0";"0";"6";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"0";"0";"4";"3";"0";"1"
"542598";"Všetaty";"253";"142";"142";"49";"0";"0";"0";"0";"12";"2";"0";"5";"2";"1";"0";"0";"0";"0";"7";"0";"0";"4";"19";"9";"0";"15";"17";"0";"0"
"542601";"Zavidov";"230";"175";"174";"60";"0";"0";"0";"0";"20";"0";"0";"14";"0";"0";"0";"0";"1";"0";"11";"0";"1";"0";"29";"6";"1";"11";"20";"0";"0"
"542610";"Zbečno";"459";"322";"321";"97";"0";"0";"0";"0";"30";"6";"0";"24";"3";"2";"0";"0";"0";"1";"17";"0";"7";"2";"21";"22";"0";"58";"31";"0";"0"
"598518";"Žďár";"75";"42";"42";"11";"0";"0";"0";"0";"18";"0";"0";"2";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"3";"1";"0";"3";"0";"0";"0"
